GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
csg-report-entity,com.csg.entity.config,ReactiveTypeDeserializer,0,44,0,2,0,10,0,5,0,4
csg-report-entity,com.csg.entity.config,JacksonConfiguration,0,34,0,0,0,7,0,3,0,3
csg-report-entity,com.csg.entity.config,ReactiveTypeSerializer,14,57,0,4,4,20,0,8,0,6
csg-report-entity,com.csg.entity.config,DBConfig,0,91,1,3,0,12,1,4,0,3
csg-report-entity,com.csg.entity.payload.response,ApiResponse,0,35,1,3,0,6,1,9,0,8
csg-report-entity,com.csg.entity.util,CommonUtils,19,109,0,10,4,23,3,14,3,9
csg-report-entity,com.csg.entity.util,LocalizationMessageUtil,0,14,0,2,0,4,0,3,0,2
csg-report-entity,com.csg.entity.util,CsgConstants,7,0,0,0,2,0,1,0,1,0
csg-report-entity,com.csg.entity.util,MessageKeyConstants,7,0,0,0,2,0,1,0,1,0
csg-report-entity,com.csg.entity.persistence.entity,MethodRulesEntity,0,45,0,0,0,8,0,13,0,13
csg-report-entity,com.csg.entity.persistence.entity,TemplatesEntity,0,45,0,0,0,8,0,13,0,13
csg-report-entity,com.csg.entity.persistence.entity,ReportRulesEntity,0,66,0,0,0,11,0,19,0,19
csg-report-entity,com.csg.entity.persistence.entity,ReportsEntity,0,73,0,0,0,12,0,21,0,21
csg-report-entity,com.csg.entity.persistence.entity,ReportsRequestListEntity,0,101,0,0,0,16,0,29,0,29
csg-report-entity,com.csg.entity.persistence.entity,ReportMetaDataDetailsEntity,0,52,0,0,0,9,0,15,0,15
csg-report-entity,com.csg.entity.persistence.entity,ReportColumnEntity,0,73,0,0,0,12,0,21,0,21
csg-report-entity,com.csg.entity,CaresoftReportEntityApplication,8,0,0,0,3,0,2,0,2,0
csg-report-entity,com.csg.entity.exception,ResourceNotFoundException,0,12,0,0,0,6,0,3,0,3
csg-report-entity,com.csg.entity.exception,CustomizedResponseEntityExceptionHandler,76,0,0,0,18,0,6,0,6,0
csg-report-entity,com.csg.entity.exception,BadRequestException,0,9,0,0,0,4,0,2,0,2
csg-report-entity,com.csg.entity.exception,MonoFluxSerializationException,0,5,0,0,0,2,0,1,0,1
csg-report-entity,com.csg.entity.util.enums,Status,0,21,0,0,0,4,0,1,0,1
csg-report-entity,com.csg.entity.util.enums,MailStatus,0,21,0,0,0,4,0,1,0,1
csg-report-entity,com.csg.entity.util.enums,FileType,0,15,0,0,0,3,0,1,0,1
